City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
143,Ust-Kuyga,70.0167,135.6,31.05,91,100,4.25,RU,2021-05-02 22:10:27,overcast clouds
144,Dhidhdhoo,6.8833,73.1,83.86,71,91,3.87,MV,2021-05-02 22:10:28,overcast clouds
145,Sechura,-5.5569,-80.8222,76.95,62,23,16.04,PE,2021-05-02 22:10:30,few clouds
146,Arraial Do Cabo,-22.9661,-42.0278,73.4,78,40,4.61,BR,2021-05-02 22:10:31,scattered clouds
147,Nanortalik,60.1432,-45.2371,38.77,50,100,18.7,GL,2021-05-02 22:02:09,overcast clouds
148,Thompson,55.7435,-97.8558,33.8,60,40,8.05,CA,2021-05-02 22:10:33,scattered clouds
149,Lompoc,34.6391,-120.4579,61.0,77,75,17.27,US,2021-05-02 22:01:07,broken clouds
150,Puerto Ayora,-0.7393,-90.3518,86.0,58,40,13.8,EC,2021-05-02 22:10:35,scattered clouds
151,Huarmey,-10.0681,-78.1522,71.31,75,39,10.31,PE,2021-05-02 22:03:04,scattered clouds
152,Thinadhoo,0.5333,72.9333,82.38,73,100,7.85,MV,2021-05-02 22:10:38,overcast clouds
153,Morehead,37.2711,-87.1764,69.8,56,90,4.61,US,2021-05-02 22:10:39,moderate rain
154,Kavaratti,10.5669,72.642,84.06,75,89,4.61,IN,2021-05-02 22:10:40,overcast clouds
155,Tommot,58.9564,126.2925,35.56,99,100,0.89,RU,2021-05-02 22:10:41,overcast clouds
156,Mar Del Plata,-38.0023,-57.5575,68.0,83,75,2.3,AR,2021-05-02 22:01:07,moderate rain
157,Isangel,-19.55,169.2667,80.6,78,75,5.75,VU,2021-05-02 22:10:44,broken clouds
158,San Patricio,28.017,-97.5169,86.0,74,40,16.11,US,2021-05-02 22:04:37,scattered clouds
159,Doha,25.2867,51.5333,84.0,57,0,2.3,QA,2021-05-02 22:06:58,clear sky
160,Maniitsoq,65.4167,-52.9,37.76,63,0,8.46,GL,2021-05-02 22:10:47,clear sky
161,Tautira,-17.7333,-149.15,86.0,66,20,11.5,PF,2021-05-02 22:01:55,few clouds
162,Grand Gaube,-20.0064,57.6608,75.0,91,4,8.12,MU,2021-05-02 22:01:12,light rain
163,Te Anau,-45.4167,167.7167,47.62,86,55,1.32,NZ,2021-05-02 22:10:51,broken clouds
164,Tucupita,9.0622,-62.051,75.49,95,100,3.33,VE,2021-05-02 22:10:52,overcast clouds
165,Port Hedland,-20.3167,118.5667,68.0,100,12,4.61,AU,2021-05-02 22:08:20,few clouds
166,Haines Junction,60.7522,-137.5108,48.2,34,83,9.22,CA,2021-05-02 22:10:54,broken clouds
167,Taltal,-25.4,-70.4833,64.62,77,28,3.13,CL,2021-05-02 22:10:56,scattered clouds
168,Adrar,20.5022,-10.0711,88.25,18,97,7.72,MR,2021-05-02 22:02:23,overcast clouds
169,Kuching,1.55,110.3333,75.2,94,40,6.91,MY,2021-05-02 22:07:51,moderate rain
170,Kavieng,-2.5744,150.7967,82.78,74,85,3.31,PG,2021-05-02 22:03:17,overcast clouds
171,Bud,39.447,-86.1758,66.99,72,100,11.95,US,2021-05-02 22:11:00,light rain
172,Mahebourg,-20.4081,57.7,75.2,94,20,4.61,MU,2021-05-02 22:11:01,light rain
173,Mpulungu,-8.7623,31.1141,71.17,83,82,7.43,ZM,2021-05-02 22:11:02,broken clouds
174,Esperance,-33.8667,121.9,51.8,87,13,6.91,AU,2021-05-02 22:11:03,few clouds
175,Vagur,61.4732,-6.8119,38.93,62,85,11.74,FO,2021-05-02 22:06:12,overcast clouds
176,Warrington,53.3925,-2.5802,48.2,87,75,4.61,GB,2021-05-02 22:11:05,broken clouds
177,Gimli,50.6336,-96.9907,44.6,65,100,17.27,CA,2021-05-02 22:11:06,overcast clouds
178,Saint-Prosper,46.2117,-70.4811,55.4,30,52,8.05,CA,2021-05-02 22:11:08,broken clouds
179,Saint George,37.1041,-113.5841,82.99,14,1,13.8,US,2021-05-02 22:10:52,clear sky
180,Florianopolis,-27.6146,-48.5012,73.4,78,0,11.5,BR,2021-05-02 22:11:10,clear sky
181,Necochea,-38.5473,-58.7368,61.0,76,100,5.01,AR,2021-05-02 22:11:12,heavy intensity rain
182,Warri,5.5167,5.75,78.58,90,100,4.41,NG,2021-05-02 22:07:28,overcast clouds
183,Caravelas,-17.7125,-39.2481,73.15,76,37,6.69,BR,2021-05-02 22:11:15,scattered clouds
184,Airai,-8.9266,125.4092,57.83,89,57,3.69,TL,2021-05-02 22:01:57,broken clouds
185,Nome,64.5011,-165.4064,37.4,56,75,12.66,US,2021-05-02 22:02:19,broken clouds
186,Singaraja,-8.112,115.0882,78.3,78,19,3.0,ID,2021-05-02 22:11:19,few clouds
187,Kaka,37.3482,59.6143,71.74,48,96,9.01,TM,2021-05-02 22:11:20,overcast clouds
188,Port Lincoln,-34.7333,135.8667,60.67,70,100,10.13,AU,2021-05-02 22:04:17,light rain
189,Comodoro Rivadavia,-45.8667,-67.5,57.2,41,75,25.32,AR,2021-05-02 22:11:22,broken clouds
190,Tiksi,71.6872,128.8694,23.86,97,100,4.14,RU,2021-05-02 22:11:26,overcast clouds
191,Rio Hato,8.3833,-80.1667,84.2,74,20,8.05,PA,2021-05-02 22:11:28,few clouds
192,Burnie,-41.0667,145.9167,60.01,93,76,1.99,AU,2021-05-02 22:11:29,broken clouds
193,Latung,5.5,120.8833,83.32,70,43,4.32,PH,2021-05-02 22:11:30,scattered clouds
194,Puerto Escondido,15.85,-97.0667,84.2,79,40,11.45,MX,2021-05-02 22:06:58,scattered clouds
195,Almaty,43.25,76.95,55.4,82,90,6.71,KZ,2021-05-02 22:11:10,overcast clouds
196,Sterling,39.0062,-77.4286,82.4,28,75,14.97,US,2021-05-02 22:11:33,broken clouds
197,Hanzhong,33.0728,107.0303,60.21,94,100,2.24,CN,2021-05-02 22:11:34,overcast clouds
198,Codrington,-38.2667,141.9667,58.03,85,99,12.21,AU,2021-05-02 22:11:36,overcast clouds
199,Maracacume,-2.0428,-45.9592,73.67,97,98,3.2,BR,2021-05-02 22:11:38,overcast clouds
200,Kahului,20.8947,-156.47,82.4,57,40,23.02,US,2021-05-02 22:06:52,scattered clouds
201,Saldanha,-33.0117,17.9442,68.0,30,0,1.14,ZA,2021-05-02 22:11:40,clear sky
202,Eenhana,-17.4667,16.3333,64.89,52,62,4.56,NA,2021-05-02 22:11:42,broken clouds
203,Lasa,46.6166,10.7002,59.0,60,40,3.44,IT,2021-05-02 22:11:43,scattered clouds
204,Carutapera,-1.195,-46.02,75.97,89,100,4.97,BR,2021-05-02 22:11:44,overcast clouds
205,Greenwood,34.1668,-82.1165,81.0,47,75,8.05,US,2021-05-02 22:11:45,broken clouds
206,Rondonopolis,-16.4708,-54.6356,82.98,48,84,5.55,BR,2021-05-02 22:11:46,broken clouds
207,Pathein,16.7833,94.7333,79.14,80,0,4.92,MM,2021-05-02 22:11:47,clear sky
208,Along,28.1667,94.7667,66.83,93,93,1.97,IN,2021-05-02 22:05:51,overcast clouds
209,Bad Frankenhausen,51.35,11.1,41.0,68,27,1.99,DE,2021-05-02 22:11:50,scattered clouds
210,Paka,4.6374,103.4368,75.2,100,84,1.92,MY,2021-05-02 22:11:52,broken clouds
211,Sibolga,1.7427,98.7792,75.33,84,65,4.36,ID,2021-05-02 22:11:53,broken clouds
212,Sivaki,52.6333,126.75,41.79,59,100,11.61,RU,2021-05-02 22:11:54,overcast clouds
213,Yulara,-25.2406,130.9889,59.0,47,99,6.91,AU,2021-05-02 22:11:55,overcast clouds
214,Cuamba,-14.8031,36.5372,64.65,88,37,8.7,MZ,2021-05-02 22:11:56,scattered clouds
215,Prince Rupert,54.3161,-130.3201,50.0,81,90,6.91,CA,2021-05-02 22:11:57,light rain
216,Constantine,36.365,6.6147,55.4,94,75,6.91,DZ,2021-05-02 22:07:48,broken clouds
217,Nouadhibou,20.931,-17.0347,66.2,72,0,19.57,MR,2021-05-02 22:11:05,clear sky
218,Lubango,-14.9172,13.4925,59.72,90,88,3.51,AO,2021-05-02 22:12:00,light rain
219,Banda Aceh,5.5577,95.3222,80.53,77,97,4.65,ID,2021-05-02 22:12:03,overcast clouds
220,Kawalu,-7.3817,108.2082,72.19,96,79,1.39,ID,2021-05-02 22:12:05,broken clouds
221,Korla,41.7597,86.1469,55.54,22,5,2.51,CN,2021-05-02 22:05:49,clear sky
222,Ambalavao,-21.8333,46.9333,61.74,94,100,2.77,MG,2021-05-02 22:12:07,overcast clouds
223,Mortara,45.2473,8.7355,57.0,69,85,1.99,IT,2021-05-02 22:12:08,overcast clouds
